No.,Ticker,Market Cap,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Price,Change,Volume
446,BPOP,4828.60,3.21%,1.50%,22.70%,27.80%,,,0.14,0.26,,92.00%,45.80%,1/25/2023 8:30:00 AM,68.45,-0.10%,367114
447,BR,16388.52,2.02%,6.40%,28.30%,11.00%,1.20,1.20,2.13,2.13,27.70%,12.80%,9.00%,11/2/2022 8:30:00 AM,144.99,0.99%,419817
448,BRBR,3306.68,,12.30%,-8.20%,29.90%,2.90,1.50,,,30.80%,14.20%,6.00%,11/17/2022 4:30:00 PM,26.65,2.19%,815344
449,BRC,2398.54,1.88%,11.30%,16.60%,15.00%,2.10,1.30,0.11,0.11,48.50%,15.40%,11.80%,11/17/2022 8:30:00 AM,50.08,2.10%,184053
450,BRCC,1389.01,,-46.90%,252.70%,10.30%,2.40,1.70,0.58,1.12,33.80%,-18.70%,-29.50%,11/10/2022 8:30:00 AM,6.65,0.45%,368704
451,BRDG,1605.80,7.57%,24.40%,302.50%,184.60%,,,3.51,3.51,,58.60%,32.50%,11/8/2022 4:30:00 PM,14.65,2.66%,172870
452,BRK-A,692105.70,,-0.10%,-0.30%,1.80%,,,0.25,0.26,21.40%,12.40%,-0.50%,,482860.00,-0.23%,3778
453,BRK-B,706001.45,,,,,,,,,,,,11/7/2022 8:30:00 AM,318.93,-0.45%,3067143
454,BRKL,1035.97,3.88%,1.30%,11.10%,20.80%,,,0.21,0.21,,90.20%,34.10%,1/25/2023 4:30:00 PM,13.84,-0.43%,1199738
455,BRKR,10579.18,0.29%,7.90%,27.50%,12.50%,2.40,1.50,1.21,1.23,51.20%,17.00%,11.00%,11/3/2022 8:30:00 AM,67.86,-0.50%,337751
456,BRLT,431.13,,1.20%,31.70%,56.20%,2.60,2.10,6.21,6.55,52.30%,6.70%,0.70%,11/10/2022 4:30:00 PM,4.64,1.53%,58858
457,BRMK,527.16,10.27%,4.70%,5.20%,6.90%,,,0.09,0.09,,57.90%,50.30%,11/7/2022 4:30:00 PM,4.16,1.71%,1427639
458,BRO,16952.41,0.75%,5.20%,14.40%,10.30%,1.10,1.10,0.94,0.95,,27.20%,18.10%,1/23/2023 4:30:00 PM,61.66,-0.05%,1197692
459,BROS,5891.18,,-1.20%,-9.50%,-45.70%,0.50,0.30,2.44,3.19,26.30%,-2.10%,-1.50%,11/9/2022 4:30:00 PM,35.29,-1.37%,1267704
460,BRP,3461.97,,-0.50%,-2.50%,-2.20%,1.20,1.20,2.05,2.07,27.90%,-0.30%,-1.80%,11/7/2022 4:30:00 PM,31.09,-0.13%,322692
461,BRSP,863.60,11.36%,2.10%,8.50%,3.00%,,,2.97,2.97,93.10%,66.10%,28.60%,11/2/2022 8:30:00 AM,7.18,1.99%,472945
462,BRT,367.54,5.02%,9.20%,22.90%,-2.70%,,,1.80,1.80,57.30%,-24.10%,91.10%,11/7/2022 4:30:00 PM,20.23,1.61%,61417
463,BRW,339.00,13.08%,,,,,,,,,,,,8.00,0.36%,62459
464,BRX,6536.90,4.68%,3.90%,11.70%,5.00%,,,1.81,1.81,74.20%,36.40%,27.00%,11/1/2022 4:30:00 PM,22.77,2.48%,3676945
465,BRY,618.96,2.87%,12.50%,27.40%,1.50%,1.00,1.00,0.51,0.51,52.90%,24.70%,20.10%,11/2/2022 8:30:00 AM,8.59,2.63%,437076
466,BRZE,2631.45,,-21.50%,-31.10%,-15.60%,3.10,3.10,0.00,0.00,67.20%,-47.20%,-45.40%,12/13/2022 4:30:00 PM,28.86,2.41%,589058
467,BSIG,845.67,0.19%,20.20%,-181.30%,38.20%,,,,,,39.50%,23.90%,11/3/2022 8:30:00 AM,21.15,-0.24%,226330
468,BSM,3527.68,11.46%,32.30%,53.60%,21.90%,2.30,2.30,0.07,0.07,87.20%,70.70%,66.30%,10/31/2022 4:30:00 PM,16.54,5.28%,653544
469,BSRR,310.70,4.37%,1.10%,11.30%,22.00%,,,0.29,0.29,,91.00%,31.70%,10/24/2022 8:30:00 AM,21.26,1.00%,22059
470,BST,1013.36,9.50%,,,,,,,,,,,,31.49,-0.25%,147508
471,BSTZ,1341.59,13.41%,,,,,,,,,,,,17.00,-1.05%,244342
472,BSX,64806.95,,1.90%,3.50%,4.50%,1.40,0.90,0.49,0.49,68.90%,9.80%,4.80%,2/1/2023 8:30:00 AM,46.71,1.96%,10157569
473,BSY,10795.70,0.31%,6.40%,40.40%,5.30%,0.60,0.60,3.42,3.42,78.40%,19.80%,17.60%,11/8/2022 8:30:00 AM,37.66,-1.41%,581131
474,BTAI,687.27,,-58.10%,-77.60%,,10.30,10.30,0.72,0.72,92.00%,,,11/10/2022 8:30:00 AM,27.85,12.21%,801840
475,BTO,51918.51,0.60%,6.50%,8.00%,15.30%,5.20,3.50,0.01,0.02,35.50%,30.50%,13.90%,10/25/2022 4:30:00 PM,36.50,0.72%,44896
476,BTT,1551.12,3.08%,,,,,,,,,,,,22.16,0.73%,89665
477,BTU,3676.92,,22.80%,55.60%,15.10%,1.80,1.60,0.12,0.33,33.50%,27.90%,25.50%,11/3/2022 8:30:00 AM,27.73,2.14%,2659143
478,BTZ,988.37,9.53%,,,,,,,,,,,,10.69,1.14%,564398
479,BUI,493.75,6.50%,,,,,,,,,,,,22.11,-1.03%,58829
480,BURL,14460.11,,2.40%,24.20%,20.10%,1.10,0.30,2.29,2.31,40.30%,3.20%,1.90%,11/22/2022 8:30:00 AM,222.75,-1.00%,518993
481,BUSE,1325.31,3.75%,1.00%,10.30%,15.20%,,,0.30,0.30,,91.80%,37.40%,,24.97,1.84%,82801
482,BV,711.57,,0.40%,1.10%,2.80%,1.40,1.40,1.09,1.10,24.30%,3.20%,0.50%,11/17/2022 8:30:00 AM,7.61,-0.26%,136411
483,BVH,634.93,2.20%,5.50%,28.30%,3.10%,,,2.57,2.57,76.80%,7.40%,8.80%,11/3/2022 8:30:00 AM,27.77,1.91%,123535
484,BW,557.89,,-1.50%,-135.40%,6.90%,1.60,1.30,,,21.70%,-0.40%,-1.70%,11/8/2022 4:30:00 PM,6.43,0.47%,383741
485,BWA,9927.76,1.56%,5.00%,11.80%,8.90%,1.70,1.30,0.60,0.61,18.80%,7.80%,5.30%,10/27/2022 8:30:00 AM,44.61,2.41%,1825235
486,BWB,478.22,,1.30%,15.40%,21.80%,,,0.29,0.29,,79.90%,32.30%,10/27/2022 8:30:00 AM,17.68,0.86%,39643
487,BWBBP,507.37,7.12%,,,,,,,,,,,,21.45,4.03%,1726
488,BWXT,5276.39,1.49%,11.90%,46.00%,14.60%,2.10,2.00,1.88,0.00,24.50%,15.90%,14.20%,11/7/2022 4:30:00 PM,58.65,-0.63%,323826
489,BX,97426.16,5.95%,6.20%,29.30%,69.00%,,,1.22,1.27,,49.40%,20.60%,10/20/2022 8:30:00 AM,85.06,2.40%,4600761
490,BXC,674.63,,22.90%,70.60%,36.60%,4.20,2.30,1.00,1.01,19.10%,10.90%,7.40%,11/1/2022 4:30:00 PM,79.64,1.17%,76446
491,BXMT,3878.03,10.74%,1.70%,9.10%,1.90%,,,4.27,4.27,44.10%,37.00%,36.60%,10/26/2022 8:30:00 AM,23.16,0.26%,1824898
492,BXMX,1362.50,7.23%,,,,,,,,,,,,13.09,0.00%,81337
493,BXP,10466.79,5.62%,3.80%,14.60%,4.90%,,,2.29,2.29,63.20%,34.50%,28.50%,1/31/2023 4:30:00 PM,71.22,2.09%,1236591
494,BXSL,3707.91,10.23%,4.00%,9.30%,3.50%,,,1.32,1.32,57.70%,57.20%,51.10%,11/10/2022 8:30:00 AM,23.50,0.21%,852255
495,BY,842.22,1.57%,1.20%,10.50%,21.70%,,,0.15,0.15,,86.90%,30.10%,1/26/2023 4:30:00 PM,23.18,0.87%,151079
496,BYD,5866.34,1.05%,9.40%,37.40%,14.50%,0.80,0.70,1.83,1.86,56.20%,25.70%,16.40%,10/25/2022 4:30:00 PM,58.34,2.15%,891760
497,BYM,309.32,3.89%,,,,,,,,,,,,11.67,-0.34%,85265
498,BYND,956.63,,-30.20%,,-13.90%,7.70,5.00,,,-1.50%,-80.70%,-86.30%,11/9/2022 4:30:00 PM,16.52,3.77%,2774673
499,BYTS,420.29,,3.00%,3.20%,,6.50,6.50,0.00,0.00,,,,,10.12,-0.09%,27350
500,BZH,435.87,,10.20%,26.30%,11.40%,,,1.05,1.05,23.30%,11.80%,9.50%,11/10/2022 4:30:00 PM,14.28,0.78%,193272
501,C,93227.53,4.19%,0.60%,8.00%,9.30%,,,1.37,0.00,,72.30%,23.40%,1/13/2023 8:30:00 AM,49.09,0.78%,16259696
502,CABA,311.05,,-47.20%,-50.40%,,15.20,15.20,0.00,0.00,,,,11/10/2022 8:30:00 AM,9.32,1.64%,337094
503,CABO,4375.26,1.49%,5.40%,20.00%,7.90%,1.40,1.40,1.99,2.02,72.10%,30.40%,22.00%,11/3/2022 4:30:00 PM,757.09,-0.85%,74360
504,CAC,602.48,3.98%,1.10%,13.10%,20.30%,,,0.10,0.10,,90.60%,38.30%,1/31/2023 4:30:00 PM,42.20,-0.05%,19571
505,CACC,4818.20,,9.00%,38.20%,17.40%,,,2.91,2.91,,53.90%,34.10%,11/1/2022 4:30:00 PM,418.47,5.53%,129330
506,CACI,6811.81,,5.60%,12.30%,8.50%,1.20,1.10,0.51,0.52,34.60%,7.90%,5.80%,10/26/2022 4:30:00 PM,293.09,-0.91%,131306
507,CADE,4510.47,3.45%,0.50%,5.30%,11.10%,,,0.11,0.11,,58.50%,15.90%,1/30/2023 4:30:00 PM,25.83,1.37%,936300
508,CAF,330.85,1.40%,,,,,,,,,,,,15.14,0.13%,18728
509,CAG,18949.99,3.26%,3.00%,7.90%,6.30%,0.90,0.30,0.93,1.08,25.40%,9.50%,5.70%,1/5/2023 8:30:00 AM,40.13,-0.96%,3618680
510,CAH,19543.21,2.59%,-2.50%,199.90%,-16.70%,1.00,0.50,,,3.50%,-0.50%,-0.60%,2/2/2023 8:30:00 AM,76.52,0.00%,1478264
511,CAKE,1892.24,2.81%,1.80%,14.50%,10.40%,0.50,0.40,1.45,1.45,75.90%,1.70%,1.60%,11/1/2022 4:30:00 PM,38.06,-0.86%,1217399
512,CAL,786.09,1.23%,9.50%,50.70%,25.30%,0.90,0.30,0.00,0.91,44.00%,8.60%,6.20%,11/22/2022 8:30:00 AM,23.17,2.16%,546022
513,CALM,2355.15,5.86%,31.40%,40.80%,10.00%,3.20,2.30,0.00,0.00,32.60%,24.10%,18.70%,12/28/2022 4:30:00 PM,54.74,4.27%,1154157
514,CALX,3656.83,,6.20%,8.10%,42.20%,3.00,2.20,0.00,0.00,50.20%,6.80%,6.10%,1/25/2023 4:30:00 PM,64.13,7.15%,2044409
515,CANO,656.78,,-3.30%,-18.80%,-11.90%,1.60,,2.26,2.28,,-7.60%,-2.90%,11/9/2022 4:30:00 PM,1.39,8.59%,13716720
516,CAPL,762.84,10.15%,4.50%,109.40%,4.50%,0.70,0.40,13.17,13.32,7.40%,1.80%,1.20%,11/7/2022 4:30:00 PM,20.86,0.82%,28277
517,CAR,7662.20,,11.20%,-458.60%,9.60%,0.70,0.70,,,56.30%,27.80%,23.10%,10/31/2022 4:30:00 PM,189.34,4.03%,637268
518,CARA,546.21,,-38.90%,-43.10%,-39.20%,6.60,6.60,0.00,0.00,87.00%,,,11/7/2022 4:30:00 PM,10.54,6.79%,489279
519,CARE,377.93,,1.00%,11.30%,25.80%,,,0.00,0.00,,85.10%,27.50%,10/27/2022 4:30:00 PM,16.43,1.86%,50481
520,CARG,1811.94,,-4.70%,-8.90%,21.10%,4.10,3.90,0.00,0.00,41.00%,7.20%,-2.60%,11/8/2022 4:30:00 PM,16.36,2.96%,1148196
521,CARR,36388.79,1.64%,14.40%,51.80%,11.80%,1.60,1.20,1.21,1.24,27.40%,22.20%,17.50%,10/27/2022 8:30:00 AM,45.25,0.13%,3270674
522,CARS,946.44,,0.10%,0.30%,5.40%,1.50,1.50,1.28,1.32,68.60%,7.80%,0.20%,11/3/2022 8:30:00 AM,15.42,5.54%,368203
523,CASH,1272.54,0.43%,2.20%,20.80%,36.80%,,,0.06,0.06,,89.30%,49.30%,10/27/2022 4:30:00 PM,46.39,0.54%,237310
524,CASS,645.39,2.37%,1.30%,15.50%,3.20%,,,0.00,3.38,99.10%,22.80%,18.90%,,48.72,-0.43%,56121
525,CASY,8032.65,0.69%,7.40%,17.80%,10.10%,1.10,0.70,0.65,0.67,19.90%,4.00%,2.80%,12/6/2022 4:30:00 PM,221.08,0.07%,222254
526,CAT,125984.30,1.91%,9.00%,45.50%,9.40%,1.40,0.90,1.64,2.34,29.90%,13.80%,13.00%,1/31/2023 8:30:00 AM,255.07,1.73%,3881015
527,CATC,636.69,3.08%,1.10%,12.40%,24.90%,,,0.00,0.00,,93.40%,37.90%,10/18/2022 8:30:00 AM,85.23,2.67%,33900
528,CATY,3048.98,3.22%,1.60%,13.90%,20.50%,,,0.06,0.06,,88.60%,44.70%,1/25/2023 4:30:00 PM,43.02,1.70%,320574
529,CBAY,505.50,,-57.30%,-110.60%,,12.20,12.20,1.43,1.43,,,,11/14/2022 4:30:00 PM,6.15,2.50%,1222469
530,CBL,742.11,4.17%,-22.70%,-141.30%,-17.30%,,,4.53,4.53,66.50%,-63.00%,,11/14/2022 8:30:00 AM,25.50,6.38%,71936
531,CBNK,318.32,1.04%,2.10%,20.90%,47.40%,,,0.06,0.06,,92.80%,30.00%,,23.39,1.26%,25543
532,CBOE,13123.08,1.62%,3.20%,7.00%,11.70%,1.20,1.20,0.56,0.00,43.80%,11.90%,6.30%,2/3/2023 8:30:00 AM,123.77,0.28%,825078
533,CBRE,25977.49,,9.60%,24.40%,9.30%,1.10,1.10,0.19,0.39,22.00%,6.00%,6.50%,10/27/2022 8:30:00 AM,85.63,0.94%,1364382
534,CBRL,2281.75,4.96%,5.00%,21.30%,15.10%,0.70,0.20,0.99,0.00,67.20%,4.00%,3.50%,12/2/2022 8:30:00 AM,102.98,-1.79%,432891
535,CBSH,8419.22,1.54%,1.40%,16.40%,21.90%,,,0.00,0.00,,96.30%,50.60%,1/19/2023 8:30:00 AM,69.51,0.72%,278445
536,CBT,3833.11,2.07%,5.90%,23.50%,12.30%,1.60,1.00,1.21,1.61,20.50%,9.00%,4.80%,11/7/2022 4:30:00 PM,72.81,1.89%,277668
537,CBU,3332.80,2.75%,1.20%,10.30%,15.80%,,,0.00,0.00,,93.30%,43.50%,1/24/2023 8:30:00 AM,64.39,0.48%,127428
538,CBZ,2361.94,,5.80%,14.30%,6.60%,1.30,1.30,0.35,0.35,17.30%,12.50%,7.90%,10/27/2022 8:30:00 AM,48.09,1.46%,124104
539,CC,4713.28,3.03%,11.90%,76.50%,12.20%,1.80,1.10,2.73,2.75,25.70%,14.10%,12.90%,10/25/2022 4:30:00 PM,33.27,0.94%,782731
540,CCAP,430.57,11.76%,,,,,,,,,,,11/9/2022 4:30:00 PM,14.45,3.66%,74943
541,CCB,576.12,,1.20%,16.30%,27.10%,,,0.12,0.00,,58.00%,22.80%,10/27/2022 8:30:00 AM,46.13,2.33%,93387
542,CCBG,524.09,2.14%,0.80%,9.00%,20.80%,,,0.14,0.14,,96.00%,30.10%,,32.29,1.41%,20324
543,CCCC,402.68,,-21.60%,-30.10%,-20.50%,7.20,7.20,0.03,0.04,,,,,9.02,6.24%,609333
544,CCCS,5408.15,,1.00%,1.70%,-5.00%,2.80,2.80,0.40,0.41,73.50%,14.60%,4.40%,11/4/2022 8:30:00 AM,8.64,0.70%,329241
545,CCD,665.02,10.83%,,,,,,,,,,,,22.11,2.36%,71721
546,CCF,862.77,1.11%,9.70%,12.50%,8.10%,12.40,10.60,0.48,0.48,37.80%,18.10%,13.70%,,92.14,2.31%,19927
547,CCI,63411.61,4.13%,4.10%,20.30%,6.40%,0.50,0.50,2.69,2.80,69.90%,33.60%,23.50%,10/19/2022 4:30:00 PM,151.25,-0.22%,2337111
548,CCK,10087.95,1.04%,-2.60%,-20.30%,-1.90%,1.20,0.70,4.03,4.13,18.30%,-1.40%,-2.80%,10/24/2022 4:30:00 PM,86.52,2.11%,854276
549,CCL,11882.68,,-17.40%,-93.90%,-17.10%,0.70,0.60,3.40,4.07,31.30%,-59.30%,-75.50%,12/21/2022 8:30:00 AM,10.28,4.26%,48324878
550,CCNE,486.50,3.00%,1.10%,14.60%,28.70%,,,0.23,0.23,,88.30%,29.00%,10/18/2022 4:30:00 PM,23.95,2.79%,87309
551,CCO,589.00,,-2.60%,4.00%,-3.50%,0.90,0.90,,,47.10%,10.90%,-5.20%,11/8/2022 8:30:00 AM,1.33,-3.62%,3485678
552,CCOI,2928.85,5.77%,2.30%,-5.30%,10.70%,3.40,3.40,,,61.70%,18.60%,3.80%,11/3/2022 8:30:00 AM,64.36,1.43%,363783
553,CCRN,1083.36,,26.20%,61.10%,28.90%,2.40,2.40,0.31,0.31,22.60%,10.50%,8.10%,11/2/2022 4:30:00 PM,28.30,-2.62%,740175
554,CCS,1831.20,1.39%,16.70%,32.10%,18.60%,,,0.57,0.66,28.50%,19.00%,13.50%,2/1/2023 4:30:00 PM,58.18,0.78%,189583
555,CCSI,1106.10,,,,29.40%,1.50,1.50,,,,,,11/10/2022 4:30:00 PM,56.37,0.80%,105679
556,CCV,624.40,,5.80%,6.20%,,0.20,0.20,0.00,0.00,,,,,9.99,-0.10%,83339
557,CCVI,691.40,,5.10%,5.40%,,1.50,1.50,0.00,0.00,,,,,10.01,0.10%,655001
558,CDAY,9926.42,,-0.90%,-3.70%,-2.20%,1.10,1.10,0.59,0.60,37.10%,-5.90%,-6.50%,11/2/2022 4:30:00 PM,66.75,1.35%,874086
559,CDE,980.91,,-7.50%,-16.30%,-1.30%,1.70,1.50,0.74,0.77,25.80%,-4.10%,-17.60%,11/9/2022 4:30:00 PM,3.74,2.75%,4835737
560,CDMO,930.05,,28.90%,80.00%,41.20%,1.80,1.30,0.78,0.79,21.90%,3.30%,88.10%,12/6/2022 4:30:00 PM,16.23,4.37%,738684
561,CDNA,721.35,,-13.50%,-16.50%,-6.10%,5.50,5.30,0.00,0.00,65.60%,-23.10%,-23.40%,11/3/2022 4:30:00 PM,13.90,1.61%,1138953
562,CDNS,45385.82,,17.30%,29.00%,22.90%,1.30,1.20,0.24,0.29,89.90%,30.80%,22.90%,10/24/2022 4:30:00 PM,168.06,-0.24%,1038806
563,CDRE,787.20,1.48%,1.00%,2.90%,12.10%,2.50,1.50,0.89,0.98,38.00%,3.00%,0.80%,11/10/2022 4:30:00 PM,22.00,1.48%,57314
564,CDW,25076.52,1.24%,7.70%,103.50%,15.10%,1.30,1.10,4.60,4.64,18.80%,6.80%,4.40%,11/2/2022 8:30:00 AM,193.39,1.47%,686236
565,CDXS,365.33,,-13.10%,-19.60%,-13.90%,4.60,4.50,0.00,0.00,72.60%,-24.10%,-23.50%,11/3/2022 4:30:00 PM,5.93,2.07%,777435
566,CE,12278.73,2.35%,11.30%,35.50%,19.80%,4.70,4.10,2.29,2.49,28.30%,19.20%,17.20%,11/3/2022 4:30:00 PM,121.64,2.11%,1534591
567,CECO,470.67,,2.20%,5.00%,2.60%,1.60,1.00,0.53,0.55,29.80%,4.70%,2.60%,,14.27,0.99%,614473
568,CEG,27146.50,0.67%,-0.30%,-1.40%,-2.90%,1.20,1.10,0.41,0.50,30.20%,2.90%,-0.70%,11/8/2022 8:30:00 AM,84.34,0.27%,1496669
569,CEIX,1957.49,7.19%,14.60%,51.20%,10.00%,1.10,0.90,0.48,0.52,92.10%,31.90%,19.10%,11/1/2022 8:30:00 AM,58.90,0.77%,552776
570,CELH,8455.26,,-29.80%,-93.50%,1.80%,3.80,3.20,0.00,0.01,40.30%,-23.70%,-30.00%,11/9/2022 4:30:00 PM,106.40,-0.16%,801165
571,CEM,469.86,7.10%,,,,,,,,,,,10/7/2022 8:30:00 AM,35.45,1.52%,47570
572,CENT,2032.81,,4.60%,11.70%,8.50%,3.30,1.30,0.89,0.89,29.70%,7.80%,4.60%,11/21/2022 4:30:00 PM,39.49,1.23%,24497
573,CENTA,2110.13,,,,,,,,,,,,11/21/2022 4:30:00 PM,37.54,0.64%,305162
574,CENX,826.88,,9.60%,33.10%,8.20%,1.90,0.90,0.72,0.95,4.80%,-2.40%,5.30%,11/7/2022 4:30:00 PM,9.88,-0.80%,2008608
575,CEQP,2828.75,9.31%,-0.10%,-0.40%,8.50%,1.60,1.30,2.69,2.70,16.40%,3.90%,-0.10%,11/2/2022 8:30:00 AM,27.50,-2.24%,1667043
576,CERE,4805.33,,-42.40%,-58.90%,,16.60,16.60,0.56,0.56,,,,11/8/2022 8:30:00 AM,33.22,4.76%,886991
577,CERS,518.49,,-17.20%,-48.90%,-32.00%,1.70,1.40,0.37,0.95,59.90%,-16.70%,-20.50%,11/3/2022 4:30:00 PM,3.04,3.75%,2003848
578,CERT,2753.05,,-0.30%,-0.40%,0.30%,4.00,4.00,0.28,0.28,59.90%,7.60%,-1.30%,11/7/2022 4:30:00 PM,17.37,1.76%,1126470
579,CET,952.13,1.58%,,,,,,,,,,,,35.22,0.87%,18880
580,CEVA,659.40,,-6.60%,-7.90%,-0.60%,6.10,6.10,0.00,0.00,80.00%,-1.60%,-15.70%,11/9/2022 8:30:00 AM,29.88,1.32%,96951
581,CF,16367.06,1.90%,24.10%,78.60%,21.10%,2.70,2.30,0.67,0.00,51.80%,47.70%,28.70%,11/2/2022 4:30:00 PM,86.31,2.69%,2923001
582,CFB,583.06,,1.20%,11.40%,23.20%,,,0.00,0.00,,85.10%,32.70%,10/17/2022 4:30:00 PM,12.42,1.97%,51284
583,CFFN,1163.22,3.90%,0.90%,7.30%,15.90%,,,0.00,0.00,,70.50%,30.20%,10/26/2022 8:30:00 AM,8.71,0.00%,571874
584,CFG,19849.62,4.05%,0.90%,8.70%,15.00%,,,0.32,0.33,,85.30%,30.60%,1/17/2023 8:30:00 AM,41.83,0.87%,3019669
585,CFIV,643.94,,3.30%,3.40%,,0.00,0.00,0.00,0.01,,,,,10.23,1.14%,32954
586,CFIVU,643.90,,,,,,,,,,,,,10.10,0.00%,0
587,CFLT,5881.67,,-19.80%,-56.50%,-17.80%,5.70,5.70,1.38,1.38,63.80%,-85.90%,-85.80%,11/2/2022 4:30:00 PM,20.19,-3.12%,2923956
588,CFR,8370.38,2.62%,0.90%,13.80%,20.80%,,,0.08,0.08,,93.70%,39.10%,10/27/2022 8:30:00 AM,134.97,1.63%,312809
589,CG,11683.30,3.70%,8.20%,30.00%,23.00%,,,1.26,1.27,70.90%,41.40%,30.50%,11/29/2022 8:30:00 AM,33.35,0.85%,1774020
590,CGBD,765.31,9.65%,5.10%,11.60%,4.50%,,,1.20,1.20,54.50%,51.70%,53.10%,11/8/2022 4:30:00 PM,15.04,0.74%,245524
591,CGEM,469.55,,19.50%,20.70%,-16.00%,21.50,21.50,0.00,0.00,,,,,10.86,5.95%,150944
592,CGNX,8885.63,0.53%,11.00%,15.40%,19.30%,4.90,4.20,0.00,0.00,72.00%,24.60%,21.10%,11/3/2022 4:30:00 PM,52.60,-0.08%,536643
593,CHCO,1355.01,2.82%,1.50%,15.00%,19.90%,,,0.00,0.00,,95.00%,52.30%,,92.77,0.57%,63146
594,CHCT,940.41,5.67%,2.60%,4.30%,4.50%,,,0.66,0.66,83.20%,35.40%,21.10%,11/1/2022 4:30:00 PM,39.34,1.44%,125682
595,CHD,19544.97,1.28%,9.00%,21.20%,15.10%,1.10,0.60,0.57,0.68,42.00%,18.30%,13.90%,10/28/2022 8:30:00 AM,81.39,-0.40%,1155541
596,CHDN,8117.20,0.32%,12.60%,104.70%,8.20%,3.70,3.70,5.18,5.19,31.70%,20.30%,28.40%,10/26/2022 4:30:00 PM,223.21,1.58%,155675
597,CHE,7373.79,0.31%,19.70%,38.90%,31.90%,0.70,0.60,0.13,0.16,36.30%,16.90%,12.30%,10/31/2022 4:30:00 PM,490.00,-0.72%,81718
598,CHEF,1295.42,,3.10%,9.60%,1.70%,2.50,1.70,1.28,1.30,23.40%,3.00%,1.50%,10/26/2022 8:30:00 AM,35.53,0.00%,224465
599,CHGG,3170.26,,10.90%,30.60%,-0.30%,7.20,7.20,1.13,0.00,73.80%,15.70%,37.60%,11/1/2022 4:30:00 PM,24.30,-0.94%,2019617
600,CHH,6139.83,0.80%,16.80%,106.80%,25.70%,1.10,1.10,4.06,4.07,56.60%,37.80%,25.80%,11/7/2022 8:30:00 AM,119.97,1.49%,373787
601,CHI,891.83,10.22%,,,,,,,,,,,,11.40,2.24%,158407
602,CHK,11603.79,11.19%,21.30%,48.10%,80.20%,0.50,0.50,0.43,0.00,83.30%,28.60%,26.80%,11/1/2022 4:30:00 PM,91.49,2.14%,973381
603,CHPT,3683.76,,-32.70%,-75.00%,-48.00%,2.70,2.40,0.87,0.00,17.80%,-86.90%,-82.80%,12/1/2022 4:30:00 PM,11.37,4.41%,12911414
604,CHRD,5438.40,3.79%,,,56.80%,1.00,0.90,0.09,0.09,61.70%,,,11/2/2022 4:30:00 PM,134.99,2.39%,223729
605,CHRS,863.89,,-47.00%,,-52.00%,2.60,2.50,,,71.60%,,,11/8/2022 4:30:00 PM,10.52,2.53%,1103960
606,CHRW,10784.98,2.57%,14.90%,54.80%,22.30%,1.30,1.30,0.85,1.37,14.10%,5.30%,4.10%,11/2/2022 8:30:00 AM,93.50,-1.56%,1268990
607,CHS,534.90,,11.40%,49.60%,16.50%,1.20,0.50,0.21,0.21,39.10%,8.50%,6.40%,11/22/2022 8:30:00 AM,4.76,3.25%,2159065
608,CHSCL,347.31,7.24%,,,,,,,,,,,,25.66,-0.96%,62303
609,CHSCM,356.15,6.82%,,,,,,,,,,,,24.81,0.22%,39499
610,CHSCN,350.21,7.11%,,,,,,,,,,,,24.96,0.00%,51270
611,CHSCO,349.19,9.56%,,,,,,,,,,,,25.66,-0.36%,26019
612,CHSCP,348.90,7.06%,8.40%,23.40%,10.20%,1.30,0.80,0.23,0.36,4.50%,2.40%,3.50%,,28.13,-0.67%,11916
613,CHTR,57903.57,,3.80%,48.70%,8.80%,0.30,0.30,10.74,10.92,45.40%,22.50%,10.20%,1/27/2023 8:30:00 AM,385.47,1.86%,1198934
614,CHUY,571.25,,5.00%,9.60%,11.50%,2.10,2.10,0.00,0.00,73.20%,6.60%,5.80%,11/3/2022 4:30:00 PM,33.25,2.15%,98748
615,CHW,464.12,10.08%,,,,,,,,,,,,6.07,2.02%,237254
616,CHWY,17853.35,,-0.90%,-23.10%,-491.00%,0.90,0.50,0.00,0.00,27.40%,-0.20%,-0.20%,12/8/2022 4:30:00 PM,43.75,-0.05%,2559094
617,CHX,5949.72,0.97%,3.70%,7.40%,5.40%,1.90,1.10,0.38,0.38,24.50%,6.50%,3.60%,10/25/2022 4:30:00 PM,31.85,3.11%,1275642
618,CHY,935.56,10.34%,,,,,,,,,,,,11.80,1.72%,152597
619,CI,95014.01,1.45%,4.40%,14.40%,8.20%,,,0.62,0.70,,5.30%,3.70%,11/3/2022 8:30:00 AM,310.22,0.32%,1278550
620,CIEN,7305.91,,3.10%,5.60%,5.00%,3.30,2.30,0.41,0.41,43.00%,6.10%,4.20%,12/8/2022 8:30:00 AM,50.92,-0.61%,707677
621,CII,792.61,6.65%,,,,,,,,,,,,17.87,-0.50%,61005
622,CIIG,368.03,,-0.50%,-0.60%,,0.20,0.20,0.00,0.00,,,,,10.24,0.00%,0
623,CIM,1471.18,14.31%,-4.60%,-21.00%,4.50%,,,2.80,3.87,57.30%,-77.00%,-86.50%,11/3/2022 8:30:00 AM,6.63,3.11%,1825531
